iter	RMSE
0	0.02492910305
1	0.02374961607
2	0.02262685297
3	0.02156939403
4	0.0205845634
5	0.01967236469
6	0.01881349275
7	0.01799166218
8	0.01716158866
9	0.0164428839
10	0.01574508626
11	0.01506942135
12	0.01443123528
13	0.01382529224
14	0.01325546784
15	0.01270215139
16	0.01219536789
17	0.01173272103
18	0.01128086683
19	0.0108589193
20	0.01047439124
21	0.01009215856
22	0.009717680873
23	0.009397120649
24	0.00907288937
25	0.008764714733
26	0.00848455018
27	0.008186455946
28	0.007932194065
29	0.007688442135
30	0.007473787494
31	0.007249306495
32	0.00703169455
33	0.006832953888
34	0.006643171305
35	0.006472878013
36	0.006307628524
37	0.006132610583
38	0.005985369253
39	0.005859328793
40	0.005707313059
41	0.005585975687
42	0.005430859092
43	0.005288985658
44	0.005184861299
45	0.005065989267
46	0.004964015916
47	0.004860399196
48	0.004761158866
49	0.004676402283
50	0.004582455291
51	0.004484093035
52	0.004412172104
53	0.004342621119
54	0.004252159073
55	0.004183400531
56	0.004115747459
57	0.004059750306
58	0.004004854005
59	0.003938417904
60	0.003886005616
61	0.003836195486
62	0.003783611501
63	0.003731534683
64	0.003686878405
65	0.003645144258
66	0.003601763032
67	0.00356604822
68	0.003527083173
69	0.003489234617
70	0.003457297095
71	0.003425565078
72	0.003389722918
73	0.003358933069
74	0.003329638897
75	0.003296227569
76	0.003269895081
77	0.003244365699
78	0.003210584746
79	0.003186827976
80	0.003156022429
81	0.003136882902
82	0.0031171211
83	0.003098887793
84	0.003075186977
85	0.003055315493
86	0.003036943725
87	0.003020383299
88	0.003007633677
89	0.002988785916
90	0.002972361179
91	0.002956563595
92	0.002941446196
93	0.002925901253
94	0.002908691825
95	0.00289473989
96	0.002879346137
97	0.002861414266
98	0.002851950022
99	0.002840757209
100	0.002832291822
101	0.002822319307
102	0.002806806955
103	0.00279845668
104	0.002788770901
105	0.002780998815
106	0.002772978037
107	0.00276504416
108	0.002758256479
109	0.002750321305
110	0.002744755642
111	0.00273503612
112	0.002728944566
113	0.002722371672
114	0.002716927262
115	0.002708251009
116	0.002701711959
117	0.00269321689
118	0.002685577458
119	0.002677333602
120	0.00266779328
121	0.002662736627
122	0.002653548974
123	0.002649045165
124	0.002644293069
125	0.002640176363
126	0.002632748006
127	0.002627853381
128	0.002622110502
129	0.002618531974
130	0.002615190991
131	0.00260954953
132	0.002605420801
133	0.002601968249
134	0.002598301689
135	0.00259159903
136	0.002586289942
137	0.002580835203
138	0.002576967695
139	0.002572405304
140	0.002567846127
141	0.002563622257
142	0.00255742045
143	0.002552849471
144	0.002549311054
145	0.002544874499
146	0.002540865984
147	0.002536602132
148	0.002533628924
149	0.002529471084
150	0.002525042288
151	0.00251839489
152	0.002515358194
153	0.002513081388
154	0.002508374827
155	0.002504545788
156	0.002499263619
157	0.002494280363
158	0.002491185704
159	0.002489175009
160	0.002486102303
161	0.002484638107
162	0.002482347663
163	0.002478950591
164	0.002477065483
165	0.002474995551
166	0.002471308799
167	0.002468861367
168	0.002465584745
169	0.002463475759
170	0.002461156454
171	0.002459332635
172	0.002455829472
173	0.002454282086
174	0.0024510975
175	0.002448994884
176	0.002447202147
177	0.002443786208
178	0.00244010791
179	0.002436688742
180	0.002434865888
181	0.002431606412
182	0.002427417931
183	0.00242559328
184	0.002421813322
185	0.002418471347
186	0.002415932646
187	0.002413600733
188	0.002411782908
189	0.002410304046
190	0.002408663881
191	0.002406315872
192	0.002404502996
